id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
6046,Haile Selassie,Bright Eyes,indie,uplifting,0.72,133,0.641,0.579,0.015
6047,Hit The Switch,Bright Eyes,indie,chill,0.666,173,0.223,0.411,0.031
6048,Hot Knives,Bright Eyes,indie,chill,0.762,105,0.533,0.227,0.01
6049,I Believe In Symmetry,Bright Eyes,indie,intense,0.911,162,0.346,0.374,0.014
6050,I Must Belong Somewhere,Bright Eyes,indie,happy,0.783,126,0.775,0.509,0.299
6051,I Woke Up With This Song In My Head This Morning,Bright Eyes,indie,intense,0.823,142,0.442,0.369,0.004
6052,If The Brakeman Turns My Way,Bright Eyes,indie,chill,0.696,109,0.482,0.355,0.252
6053,Jejune Stars,Bright Eyes,indie,chill,0.719,154,0.596,0.535,0.007
6054,Ladder Song,Bright Eyes,indie,relaxed,0.216,167,0.16,0.341,0.967
6055,Laura Laurent,Bright Eyes,indie,moody,0.414,136,0.117,0.326,0.391
6056,Light Pollution,Bright Eyes,indie,happy,0.904,149,0.66,0.581,0.009
6057,Lime Tree,Bright Eyes,indie,relaxed,0.197,124,0.188,0.461,0.807
6058,Loose Leaves,Bright Eyes,indie,happy,0.807,142,0.788,0.4,0.046
6059,Lua,Bright Eyes,indie,relaxed,0.125,127,0.319,0.624,0.805
6060,Make A Plan To Love Me,Bright Eyes,indie,chill,0.555,159,0.35,0.223,0.406
6061,Make War,Bright Eyes,indie,chill,0.538,145,0.368,0.343,0.335
6062,Mariana Trench,Bright Eyes,indie,chill,0.712,160,0.568,0.575,0.254
6063,Method Acting,Bright Eyes,indie,chill,0.857,124,0.487,0.381,0.028
6064,Middleman,Bright Eyes,indie,uplifting,0.652,117,0.91,0.483,0.08
6065,Motion Sickness,Bright Eyes,indie,sad,0.314,110,0.2,0.27,0.34
6066,No One Would Riot For Less,Bright Eyes,indie,sad,0.29,147,0.241,0.338,0.296
6067,Nothing Gets Crossed Out,Bright Eyes,indie,moody,0.437,121,0.212,0.417,0.054
6068,Oh Little Town Of Bethlehem,Bright Eyes,indie,relaxed,0.137,112,0.129,0.339,0.943
6069,One Foot In Front Of The Other,Bright Eyes,indie,chill,0.539,155,0.346,0.349,0.101
6070,Persona Non Grata,Bright Eyes,indie,chill,0.596,150,0.448,0.521,0.058
6071,Poison Oak,Bright Eyes,indie,sad,0.186,123,0.166,0.414,0.121
6072,Reinvent The Wheel,Bright Eyes,indie,happy,0.806,134,0.86,0.549,0.003
6073,Road To Joy,Bright Eyes,indie,chill,0.626,153,0.118,0.347,0.024
6074,Seashell Tale,Bright Eyes,indie,relaxed,0.224,132,0.209,0.554,0.757
6075,Shell Games,Bright Eyes,indie,chill,0.724,145,0.518,0.592,0.047
6076,Ship In A Bottle,Bright Eyes,indie,uplifting,0.659,144,0.72,0.468,0.177
6077,Smoke Without Fire,Bright Eyes,indie,relaxed,0.166,131,0.181,0.361,0.861
6078,Something Vague,Bright Eyes,indie,chill,0.538,147,0.207,0.4,0.005
6079,Soon You Will Be Leaving Your Man,Bright Eyes,indie,sad,0.317,107,0.282,0.545,0.229
6080,Soul Singer In A Session Band,Bright Eyes,indie,uplifting,0.769,159,0.623,0.323,0.285
6081,Southern State,Bright Eyes,indie,chill,0.545,135,0.2,0.516,0.517
6082,Spent On Rainy Days,Bright Eyes,indie,uplifting,0.669,122,0.643,0.659,0.352
6083,Spring Cleaning,Bright Eyes,indie,relaxed,0.232,128,0.157,0.407,0.781
6084,The Big Picture,Bright Eyes,indie,moody,0.382,104,0.195,0.344,0.699
6085,The Center Of The World,Bright Eyes,indie,chill,0.553,173,0.115,0.293,0.052
6086,The Movement Of A Hand,Bright Eyes,indie,chill,0.554,108,0.131,0.457,0.772
6087,The Vanishing Act,Bright Eyes,indie,chill,0.452,137,0.191,0.54,0.221
6088,Time Code,Bright Eyes,indie,moody,0.413,117,0.075,0.436,0.394
6089,Tourist Trap,Bright Eyes,indie,relaxed,0.347,120,0.328,0.422,0.748
6090,Train Under Water,Bright Eyes,indie,chill,0.534,138,0.361,0.399,0.126
6091,Trees Get Wheeled Away,Bright Eyes,indie,uplifting,0.64,163,0.653,0.335,0.068
6092,Triple Spiral,Bright Eyes,indie,chill,0.851,140,0.476,0.444,0.0
6093,Tripped,Bright Eyes,indie,chill,0.6,98,0.49,0.427,0.329
6094,True Blue,Bright Eyes,indie,uplifting,0.565,106,0.859,0.684,0.482
6095,Waste Of Paint,Bright Eyes,indie,uplifting,0.494,129,0.663,0.537,0.754
6096,We Are Free Men,Bright Eyes,indie,chill,0.628,140,0.242,0.476,0.609
6097,Weather Reports,Bright Eyes,indie,sad,0.325,110,0.321,0.402,0.608
6098,Well Whiskey,Bright Eyes,indie,happy,0.813,118,0.681,0.493,0.062
6099,When The Curious Girl Realizes She Is Under Glass,Bright Eyes,indie,chill,0.57,176,0.35,0.264,0.936
6100,When The President Talks To God,Bright Eyes,indie,relaxed,0.308,112,0.567,0.682,0.834
6101,A Lot Like Vegas,Bring Me The Horizon,metal,intense,0.98,127,0.235,0.251,0.0
6102,Alligator Blood,Bring Me The Horizon,metal,intense,0.95,125,0.04,0.152,0.0
6103,And The Snakes Start To Sing,Bring Me The Horizon,metal,intense,0.836,112,0.147,0.341,0.005
6104,Anthem,Bring Me The Horizon,metal,intense,0.907,130,0.037,0.305,0.002
6105,Antivist,Bring Me The Horizon,metal,intense,0.991,147,0.286,0.501,0.0
6106,Avalanche,Bring Me The Horizon,metal,intense,0.935,162,0.288,0.432,0.0
6107,Blacklist,Bring Me The Horizon,metal,intense,0.916,149,0.214,0.396,0.0
6108,Blasphemy,Bring Me The Horizon,metal,chill,0.86,158,0.478,0.415,0.0
6109,Blessed With A Curse,Bring Me The Horizon,metal,chill,0.698,143,0.076,0.328,0.013
6110,Can You Feel My Heart,Bring Me The Horizon,metal,chill,0.678,149,0.056,0.61,0.003
6111,Chelsea Smile,Bring Me The Horizon,metal,intense,0.982,124,0.17,0.386,0.001
6112,Crooked Young,Bring Me The Horizon,metal,intense,0.987,148,0.253,0.434,0.001
6113,Crucify Me,Bring Me The Horizon,metal,intense,0.91,125,0.041,0.348,0.0
6114,Death Breath,Bring Me The Horizon,metal,chill,0.583,126,0.391,0.623,0.002
6115,Die4U,Bring Me The Horizon,metal,intense,0.92,162,0.262,0.36,0.002
6116,Doomed,Bring Me The Horizon,metal,intense,0.904,154,0.222,0.275,0.002
6117,Drown,Bring Me The Horizon,metal,chill,0.546,151,0.336,0.368,0.317
6118,Follow You,Bring Me The Horizon,metal,chill,0.662,117,0.512,0.548,0.076
6119,Football Season Is Over,Bring Me The Horizon,metal,intense,0.934,141,0.437,0.691,0.0
6120,Fuck,Bring Me The Horizon,metal,intense,0.904,139,0.04,0.224,0.004
6121,Happy Song,Bring Me The Horizon,metal,intense,0.925,169,0.221,0.299,0.0
6122,Home Sweet Hole,Bring Me The Horizon,metal,intense,0.926,125,0.126,0.426,0.001
6123,Hospital For Souls,Bring Me The Horizon,metal,chill,0.774,144,0.078,0.224,0.003
6124,I Apologise If You Feel Something,Bring Me The Horizon,metal,moody,0.361,174,0.054,0.214,0.533
6125,In The Dark,Bring Me The Horizon,metal,chill,0.769,159,0.52,0.543,0.007
6126,It Never Ends,Bring Me The Horizon,metal,intense,0.944,127,0.129,0.387,0.0
6127,It Was Written In Blood,Bring Me The Horizon,metal,intense,0.87,175,0.41,0.508,0.0
6128,Join The Club,Bring Me The Horizon,metal,intense,0.878,152,0.329,0.36,0.0
6129,Ludens,Bring Me The Horizon,metal,chill,0.68,186,0.385,0.299,0.001
6130,Mantra,Bring Me The Horizon,metal,uplifting,0.818,117,0.624,0.509,0.0
6131,Medicine,Bring Me The Horizon,metal,intense,0.859,122,0.327,0.624,0.004
6132,Mother Tongue,Bring Me The Horizon,metal,intense,0.868,171,0.195,0.418,0.006
6133,Off The Heezay,Bring Me The Horizon,metal,intense,0.978,187,0.157,0.207,0.0
6134,Oh No,Bring Me The Horizon,metal,intense,0.828,133,0.098,0.512,0.006
6135,Ouch,Bring Me The Horizon,metal,intense,0.814,162,0.386,0.521,0.002
6136,Parasite Eve,Bring Me The Horizon,metal,intense,0.798,125,0.235,0.597,0.029
6137,Pray For Plagues,Bring Me The Horizon,metal,intense,0.981,143,0.133,0.311,0.015
6138,Run,Bring Me The Horizon,metal,intense,0.939,146,0.361,0.488,0.003
6139,Seen It All Before,Bring Me The Horizon,metal,intense,0.949,146,0.178,0.404,0.0
6140,Shadow Moses,Bring Me The Horizon,metal,intense,0.986,151,0.185,0.462,0.0
6141,Sleep With One Eye Open,Bring Me The Horizon,metal,chill,0.662,150,0.147,0.357,0.024
6142,Sleepwalking,Bring Me The Horizon,metal,intense,0.96,155,0.343,0.406,0.0
6143,Suicide Season,Bring Me The Horizon,metal,intense,0.878,137,0.088,0.262,0.005
6144,Teardrops,Bring Me The Horizon,metal,intense,0.917,121,0.405,0.504,0.0
6145,The Comedown,Bring Me The Horizon,metal,intense,0.88,125,0.217,0.227,0.0
6146,The Fox And The Wolf,Bring Me The Horizon,metal,intense,0.904,157,0.204,0.152,0.0
6147,The House Of Wolves,Bring Me The Horizon,metal,intense,0.981,157,0.282,0.431,0.0
6148,The Sadness Will Never End,Bring Me The Horizon,metal,intense,0.852,125,0.064,0.168,0.0
6149,Throne,Bring Me The Horizon,metal,intense,0.889,152,0.391,0.432,0.0
6150,True Friends,Bring Me The Horizon,metal,intense,0.939,162,0.337,0.425,0.001
6151,Visions,Bring Me The Horizon,metal,intense,0.947,130,0.068,0.311,0.0
6152,What You Need,Bring Me The Horizon,metal,chill,0.953,154,0.563,0.518,0.0
6153,3,Britney Spears,pop,uplifting,0.721,146,0.769,0.711,0.052
6154,Alien,Britney Spears,pop,chill,0.733,131,0.379,0.62,0.262
6155,And Then We Kiss,Britney Spears,pop,intense,0.898,143,0.382,0.557,0.001
6156,Anticipating,Britney Spears,pop,happy,0.878,131,0.803,0.727,0.014
6157,Before The Goodbye,Britney Spears,pop,chill,0.731,145,0.593,0.697,0.005
6158,Blur,Britney Spears,pop,uplifting,0.718,148,0.665,0.61,0.015
6159,Body Ache,Britney Spears,pop,chill,0.588,141,0.587,0.706,0.128
6160,Bombastic Love,Britney Spears,pop,happy,0.851,124,0.662,0.767,0.024
6161,Boys,Britney Spears,pop,energetic,0.694,128,0.874,0.913,0.025
6162,Brave New Girl,Britney Spears,pop,energetic,0.67,145,0.867,0.749,0.021
6163,Break The Ice,Britney Spears,pop,happy,0.912,135,0.859,0.722,0.689
6164,Breathe On Me,Britney Spears,pop,chill,0.566,131,0.577,0.719,0.002
6165,Chaotic,Britney Spears,pop,energetic,0.628,134,0.943,0.925,0.048
6166,Chris Cox Megamix,Britney Spears,pop,happy,0.927,129,0.786,0.506,0.039
6167,Cinderella,Britney Spears,pop,happy,0.899,130,0.759,0.676,0.003
6168,Circus,Britney Spears,pop,energetic,0.74,141,0.809,0.764,0.0
6169,Criminal,Britney Spears,pop,uplifting,0.735,129,0.719,0.706,0.049
6170,Everybody,Britney Spears,pop,happy,0.8,135,0.931,0.797,0.169
6171,Everytime,Britney Spears,pop,uplifting,0.892,141,0.64,0.532,0.009
6172,Freakshow,Britney Spears,pop,happy,0.798,144,0.962,0.844,0.169
6173,Gasoline,Britney Spears,pop,energetic,0.734,136,0.558,0.768,0.178
6174,Get Back,Britney Spears,pop,happy,0.901,134,0.705,0.779,0.344
6175,Gimme More,Britney Spears,pop,intense,0.85,132,0.41,0.804,0.293
6176,He About To Lose Me,Britney Spears,pop,happy,0.798,130,0.73,0.739,0.122
6177,Heaven On Earth,Britney Spears,pop,intense,0.793,140,0.45,0.645,0.081
6178,Hold It Against Me,Britney Spears,pop,chill,0.723,145,0.393,0.657,0.01
6179,Hot As Ice,Britney Spears,pop,energetic,0.743,141,0.962,0.842,0.025
6180,How I Roll,Britney Spears,pop,energetic,0.711,153,0.8,0.83,0.075
6181,I Run Away,Britney Spears,pop,happy,0.852,152,0.656,0.613,0.006
6182,I Wanna Go,Britney Spears,pop,uplifting,0.547,143,0.796,0.706,0.004
6183,If U Seek Amy,Britney Spears,pop,chill,0.588,143,0.55,0.727,0.019
6184,Inside Out,Britney Spears,pop,chill,0.714,136,0.536,0.636,0.226
6185,Kill The Lights,Britney Spears,pop,energetic,0.623,138,0.632,0.752,0.009
6186,Lace And Leather,Britney Spears,pop,uplifting,0.587,131,0.832,0.875,0.007
6187,Let Me Be,Britney Spears,pop,happy,0.906,119,0.779,0.801,0.09
6188,Lonely,Britney Spears,pop,happy,0.954,183,0.854,0.713,0.051
6189,Lucky,Britney Spears,pop,happy,0.792,120,0.977,0.776,0.262
6190,Mannequin,Britney Spears,pop,uplifting,0.885,143,0.634,0.652,0.001
6191,Mmm Papi,Britney Spears,pop,happy,0.796,111,0.934,0.689,0.066
6192,Mona Lisa,Britney Spears,pop,uplifting,0.705,111,0.925,0.676,0.024
6193,My Prerogative,Britney Spears,pop,happy,0.938,131,0.669,0.762,0.012
6194,One Kiss From You,Britney Spears,pop,happy,0.889,120,0.681,0.742,0.07
6195,Ooh Ooh Baby,Britney Spears,pop,energetic,0.688,141,0.725,0.836,0.186
6196,Out From Under,Britney Spears,pop,chill,0.46,149,0.388,0.551,0.379
6197,Outrageous,Britney Spears,pop,energetic,0.663,127,0.856,0.84,0.039
6198,Overprotected,Britney Spears,pop,happy,0.821,121,0.976,0.744,0.016
6199,Perfect Lover,Britney Spears,pop,happy,0.847,134,0.814,0.728,0.353
6200,Perfume,Britney Spears,pop,chill,0.558,110,0.321,0.396,0.452
6201,Phonography,Britney Spears,pop,energetic,0.784,131,0.509,0.896,0.031
6202,Piece Of Me,Britney Spears,pop,energetic,0.639,133,0.791,0.78,0.09
6203,Radar,Britney Spears,pop,chill,0.723,141,0.519,0.651,0.293
6204,Rock Me In,Britney Spears,pop,chill,0.953,159,0.601,0.592,0.012
6205,Seal It With A Kiss,Britney Spears,pop,chill,0.735,140,0.566,0.653,0.175
6206,Selfish,Britney Spears,pop,energetic,0.623,138,0.796,0.732,0.011
6207,Shadow,Britney Spears,pop,chill,0.661,150,0.242,0.318,0.051
6208,Shattered Glass,Britney Spears,pop,chill,0.489,136,0.38,0.843,0.048
6209,Showdown,Britney Spears,pop,energetic,0.763,120,0.849,0.847,0.05
6210,Slumber Party,Britney Spears,pop,energetic,0.785,146,0.46,0.743,0.227
6211,Sometimes,Britney Spears,pop,energetic,0.78,121,0.823,0.753,0.424
6212,Stronger,Britney Spears,pop,happy,0.924,129,0.851,0.717,0.128
6213,The Answer,Britney Spears,pop,happy,0.85,124,0.945,0.798,0.504
6214,The Hook Up,Britney Spears,pop,happy,0.806,169,0.88,0.696,0.137
6215,Till The World Ends,Britney Spears,pop,chill,0.706,144,0.455,0.703,0.023
6216,Touch Of My Hand,Britney Spears,pop,intense,0.823,124,0.417,0.559,0.576
6217,Toxic,Britney Spears,pop,chill,0.468,161,0.455,0.758,0.018
6218,Toy Soldier,Britney Spears,pop,happy,0.898,134,0.662,0.788,0.003
6219,Trip To Your Heart,Britney Spears,pop,uplifting,0.814,140,0.649,0.689,0.062
6220,Trouble For Me,Britney Spears,pop,energetic,0.675,140,0.308,0.741,0.006
6221,Unusual You,Britney Spears,pop,chill,0.727,139,0.478,0.638,0.205
6222,When I Found You,Britney Spears,pop,happy,0.813,107,0.755,0.457,0.114
6223,When Your Eyes Say It,Britney Spears,pop,chill,0.626,115,0.444,0.703,0.055
6224,Where Are You Now,Britney Spears,pop,chill,0.489,140,0.3,0.645,0.337
6225,Why Should I Be Sad,Britney Spears,pop,uplifting,0.598,136,0.941,0.822,0.363
6226,Womanizer,Britney Spears,pop,energetic,0.696,148,0.238,0.734,0.073
6227,Work Bitch,Britney Spears,pop,happy,0.825,141,0.861,0.638,0.155
6228,All This Time,Britt Nicole,rock,chill,0.705,121,0.415,0.642,0.119
6229,Amazing Life,Britt Nicole,rock,uplifting,0.84,141,0.646,0.609,0.003
6230,Be The Change,Britt Nicole,rock,chill,0.832,150,0.568,0.518,0.02
6231,Gold,Britt Nicole,rock,happy,0.82,121,0.905,0.659,0.027
6232,Hanging On,Britt Nicole,rock,chill,0.523,111,0.518,0.667,0.079
6233,Headphones,Britt Nicole,rock,uplifting,0.834,149,0.642,0.615,0.015
6234,Like A Star,Britt Nicole,rock,energetic,0.727,136,0.277,0.773,0.002
6235,Safe,Britt Nicole,rock,chill,0.608,120,0.219,0.53,0.195
6236,Set The World On Fire,Britt Nicole,rock,chill,0.602,136,0.388,0.626,0.239
6237,Stand,Britt Nicole,rock,chill,0.739,120,0.349,0.632,0.106
6238,The Lost Get Found,Britt Nicole,rock,chill,0.6,118,0.489,0.615,0.003
6239,The Sun Is Rising,Britt Nicole,rock,chill,0.626,153,0.211,0.433,0.463
6240,Through Your Eyes,Britt Nicole,rock,chill,0.938,121,0.507,0.664,0.273
6241,Walk On The Water,Britt Nicole,rock,chill,0.744,163,0.263,0.49,0.132
6242,Welcome To The Show,Britt Nicole,rock,chill,0.827,175,0.589,0.415,0.002
6243,When She Cries,Britt Nicole,rock,chill,0.621,177,0.458,0.445,0.017
6244,40 Oz,Brokencyde,hip-hop,intense,0.926,113,0.225,0.555,0.014
6245,Always Go Hard,Brokencyde,hip-hop,happy,0.955,163,0.651,0.475,0.0
6246,Bree Bree,Brokencyde,hip-hop,chill,0.819,111,0.546,0.64,0.021
6247,Freaxxx,Brokencyde,hip-hop,chill,0.599,136,0.159,0.591,0.003
6248,Get Crunk,Brokencyde,hip-hop,chill,0.952,109,0.618,0.553,0.044
6249,Get Up,Brokencyde,hip-hop,energetic,0.697,162,0.754,0.768,0.011
6250,Jealousy,Brokencyde,hip-hop,chill,0.945,158,0.464,0.542,0.031
6251,Rockstar,Brokencyde,hip-hop,chill,0.921,130,0.532,0.644,0.085
6252,Scene Girlz,Brokencyde,hip-hop,happy,0.8,125,0.777,0.695,0.047
6253,Schitzo,Brokencyde,hip-hop,intense,0.952,114,0.289,0.634,0.031
6254,Sex Toyz,Brokencyde,hip-hop,happy,0.785,126,0.725,0.672,0.02
6255,Skeet Skeet,Brokencyde,hip-hop,happy,0.866,111,0.706,0.725,0.028
6256,Teach Me How To Scream,Brokencyde,hip-hop,chill,0.868,176,0.508,0.503,0.0
6257,Tipsy,Brokencyde,hip-hop,happy,0.882,143,0.98,0.759,0.002
6258,Yellow Bus,Brokencyde,hip-hop,happy,0.911,130,0.883,0.882,0.009
6259,Abduction,Bruce Dickinson,metal,chill,0.982,180,0.526,0.368,0.0
6260,Devil On A Hog,Bruce Dickinson,metal,chill,0.897,141,0.612,0.538,0.003
6261,Eternal,Bruce Dickinson,metal,chill,0.642,149,0.051,0.337,0.012
6262,Kill Devil Hill,Bruce Dickinson,metal,intense,0.86,160,0.201,0.405,0.001
6263,Navigate The Seas Of The Sun,Bruce Dickinson,metal,chill,0.62,119,0.385,0.532,0.127
6264,Power Of The Sun,Bruce Dickinson,metal,chill,0.972,126,0.548,0.46,0.0
6265,River Of No Return,Bruce Dickinson,metal,intense,0.788,117,0.438,0.552,0.001
6266,Soul Intruders,Bruce Dickinson,metal,chill,0.921,164,0.601,0.416,0.0
6267,Action In The Streets,Bruce Springsteen,rock,chill,0.889,147,0.499,0.45,0.166
6268,All The Way Home,Bruce Springsteen,rock,happy,0.912,152,0.699,0.425,0.006
6269,American Land,Bruce Springsteen,rock,happy,0.787,146,0.783,0.487,0.0
6270,Atlantic City,Bruce Springsteen,rock,moody,0.429,129,0.329,0.478,0.275
6271,Backstreets,Bruce Springsteen,rock,chill,0.579,171,0.267,0.226,0.31
6272,Badlands,Bruce Springsteen,rock,uplifting,0.78,138,0.838,0.612,0.097
6273,Because The Night,Bruce Springsteen,rock,chill,0.791,132,0.548,0.347,0.088
6274,Better Days,Bruce Springsteen,rock,chill,0.846,137,0.566,0.575,0.221
6275,Black Cowboys,Bruce Springsteen,rock,relaxed,0.297,131,0.389,0.625,0.775
6276,Born In The Usa,Bruce Springsteen,rock,moody,0.428,102,0.299,0.311,0.477
6277,Born To Run,Bruce Springsteen,rock,chill,0.951,153,0.585,0.277,0.008
6278,Breakaway,Bruce Springsteen,rock,chill,0.556,167,0.551,0.331,0.189
6279,Brilliant Disguise,Bruce Springsteen,rock,relaxed,0.418,129,0.383,0.461,0.848
6280,Buffalo Gals,Bruce Springsteen,rock,happy,0.928,164,0.891,0.277,0.22
6281,Chimes Of Freedom,Bruce Springsteen,rock,intense,0.87,138,0.446,0.312,0.164
6282,City Of Night,Bruce Springsteen,rock,chill,0.505,174,0.198,0.354,0.686
6283,Dancing In The Dark,Bruce Springsteen,rock,chill,0.622,154,0.276,0.368,0.745
6284,Darkness On The Edge Of Town,Bruce Springsteen,rock,dreamy,0.648,136,0.62,0.453,0.688
6285,Down In The Hole,Bruce Springsteen,rock,relaxed,0.449,111,0.442,0.56,0.719
6286,Dream Baby Dream,Bruce Springsteen,rock,chill,0.478,130,0.185,0.469,0.121
6287,Drive All Night,Bruce Springsteen,rock,chill,0.497,147,0.473,0.396,0.118
6288,Empty Sky,Bruce Springsteen,rock,uplifting,0.71,122,0.965,0.701,0.059
6289,Eyes On The Prize,Bruce Springsteen,rock,chill,0.553,137,0.585,0.469,0.508
6290,Fire,Bruce Springsteen,rock,uplifting,0.536,146,0.873,0.741,0.029
6291,For You,Bruce Springsteen,rock,relaxed,0.336,106,0.25,0.307,0.903
6292,Frankie Fell In Love,Bruce Springsteen,rock,intense,0.811,145,0.356,0.537,0.002
6293,Ghosts,Bruce Springsteen,rock,uplifting,0.737,140,0.663,0.54,0.0
6294,Girls In Their Summer Clothes,Bruce Springsteen,rock,uplifting,0.818,132,0.628,0.456,0.013
6295,Glory Days,Bruce Springsteen,rock,happy,0.961,135,0.991,0.587,0.049
6296,Gotta Get That Feeling,Bruce Springsteen,rock,happy,0.795,138,0.898,0.444,0.002
6297,Hello Sunshine,Bruce Springsteen,rock,moody,0.438,136,0.277,0.554,0.438
6298,High Hopes,Bruce Springsteen,rock,happy,0.889,128,0.701,0.648,0.004
6299,Highway Patrolman,Bruce Springsteen,rock,moody,0.311,139,0.439,0.558,0.602
6300,Highway To Hell,Bruce Springsteen,rock,intense,0.882,135,0.299,0.435,0.0
6301,House Of A Thousand Guitars,Bruce Springsteen,rock,chill,0.524,135,0.528,0.575,0.033
6302,Human Touch,Bruce Springsteen,rock,chill,0.884,132,0.549,0.444,0.004
6303,Hungry Heart,Bruce Springsteen,rock,happy,0.823,130,0.982,0.645,0.115
6304,Hunter Of Invisible Game,Bruce Springsteen,rock,chill,0.474,146,0.522,0.499,0.146
6305,If I Should Fall Behind,Bruce Springsteen,rock,sad,0.279,132,0.301,0.732,0.252
6306,If I Was The Priest,Bruce Springsteen,rock,chill,0.676,163,0.439,0.397,0.024
6307,Incident On 57Th Street,Bruce Springsteen,rock,uplifting,0.639,128,0.71,0.353,0.029
6308,Into The Fire,Bruce Springsteen,rock,uplifting,0.647,159,0.751,0.515,0.201
6309,Jack Of All Trades,Bruce Springsteen,rock,sad,0.325,155,0.237,0.289,0.676
6310,Janey Needs A Shooter,Bruce Springsteen,rock,chill,0.82,157,0.551,0.364,0.001
6311,Jesse James,Bruce Springsteen,rock,intense,0.983,135,0.275,0.422,0.332
6312,Jesus Was An Only Son,Bruce Springsteen,rock,relaxed,0.437,123,0.432,0.615,0.769
6313,John Henry,Bruce Springsteen,rock,happy,0.844,129,0.816,0.504,0.015
6314,Johnny 99,Bruce Springsteen,rock,moody,0.414,161,0.13,0.335,0.259
6315,Jungleland,Bruce Springsteen,rock,chill,0.693,134,0.176,0.291,0.139
6316,Land Of Hope And Dreams,Bruce Springsteen,rock,intense,0.789,133,0.335,0.499,0.001
6317,Last Man Standing,Bruce Springsteen,rock,chill,0.768,131,0.55,0.568,0.003
6318,Leah,Bruce Springsteen,rock,chill,0.514,141,0.563,0.542,0.525
6319,Letter To You,Bruce Springsteen,rock,chill,0.809,135,0.494,0.554,0.001
6320,Lonesome Day,Bruce Springsteen,rock,chill,0.923,130,0.607,0.513,0.002
6321,Lost In The Flood,Bruce Springsteen,rock,chill,0.731,145,0.222,0.378,0.325
6322,Love Of The Common People,Bruce Springsteen,rock,happy,0.828,173,0.761,0.356,0.168
6323,Magic,Bruce Springsteen,rock,chill,0.478,143,0.447,0.635,0.391
6324,Mansion On The Hill,Bruce Springsteen,rock,relaxed,0.356,107,0.3,0.31,0.805
6325,Matamoros Banks,Bruce Springsteen,rock,relaxed,0.13,146,0.418,0.416,0.898
6326,Moonlight Motel,Bruce Springsteen,rock,relaxed,0.181,174,0.203,0.348,0.916
6327,Murder Incorporated,Bruce Springsteen,rock,happy,0.898,132,0.966,0.502,0.045
6328,My City Of Ruins,Bruce Springsteen,rock,chill,0.531,154,0.554,0.593,0.33
6329,My Hometown,Bruce Springsteen,rock,chill,0.479,131,0.357,0.55,0.316
6330,My Oklahoma Home,Bruce Springsteen,rock,uplifting,0.736,130,0.659,0.364,0.318
6331,New York City Serenade,Bruce Springsteen,rock,chill,0.456,117,0.133,0.249,0.005
6332,Nothing Man,Bruce Springsteen,rock,chill,0.514,130,0.544,0.659,0.106
6333,Old Dan Tucker,Bruce Springsteen,rock,uplifting,0.678,121,0.956,0.6,0.075
6334,One Step Up,Bruce Springsteen,rock,chill,0.458,156,0.268,0.533,0.062
6335,One Way Street,Bruce Springsteen,rock,chill,0.564,170,0.51,0.285,0.155
6336,Open All Night,Bruce Springsteen,rock,happy,0.866,172,0.753,0.3,0.123
6337,Out In The Street,Bruce Springsteen,rock,happy,0.925,152,0.781,0.444,0.133
6338,Outlaw Pete,Bruce Springsteen,rock,chill,0.699,147,0.385,0.278,0.005
6339,Outside Looking In,Bruce Springsteen,rock,chill,0.814,143,0.617,0.434,0.003
6340,Paradise,Bruce Springsteen,rock,relaxed,0.1,113,0.061,0.517,0.937
6341,Pay Me My Money Down,Bruce Springsteen,rock,chill,0.957,159,0.536,0.303,0.312
6342,Prove It All Night,Bruce Springsteen,rock,uplifting,0.772,133,0.871,0.46,0.016
6343,Queen Of The Supermarket,Bruce Springsteen,rock,chill,0.562,134,0.451,0.502,0.027
6344,Racing In The Street,Bruce Springsteen,rock,sad,0.312,119,0.25,0.424,0.589
6345,Radio Nowhere,Bruce Springsteen,rock,happy,0.956,149,0.665,0.401,0.01
6346,Rainmaker,Bruce Springsteen,rock,chill,0.589,122,0.293,0.541,0.071
6347,Rendezvous,Bruce Springsteen,rock,happy,0.899,141,0.84,0.479,0.002
6348,Reno,Bruce Springsteen,rock,relaxed,0.23,115,0.196,0.466,0.894
6349,Rocky Ground,Bruce Springsteen,rock,chill,0.545,110,0.546,0.634,0.204
6350,Santa Claus Is Coming To Town,Bruce Springsteen,rock,chill,0.682,136,0.443,0.394,0.344
6351,Save My Love,Bruce Springsteen,rock,uplifting,0.772,143,0.835,0.515,0.001
6352,Secret Garden,Bruce Springsteen,rock,chill,0.664,169,0.36,0.273,0.217
6353,Shenandoah,Bruce Springsteen,rock,sad,0.246,106,0.049,0.217,0.677
6354,Sherry Darling,Bruce Springsteen,rock,chill,0.957,144,0.486,0.374,0.053
6355,Silver Palomino,Bruce Springsteen,rock,relaxed,0.1,133,0.355,0.487,0.848
6356,Something In The Night,Bruce Springsteen,rock,intense,0.783,109,0.414,0.406,0.029
6357,Somewhere North Of Nashville,Bruce Springsteen,rock,relaxed,0.141,126,0.368,0.615,0.918
6358,Song For Orphans,Bruce Springsteen,rock,chill,0.765,150,0.579,0.438,0.003
6359,Spanish Eyes,Bruce Springsteen,rock,chill,0.805,120,0.463,0.46,0.043
6360,Spirit In The Night,Bruce Springsteen,rock,chill,0.493,128,0.209,0.288,0.83
6361,Stones,Bruce Springsteen,rock,uplifting,0.458,125,0.646,0.553,0.239
